                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0352,                0.57685,                 1.1658,                0.96995,                0.97443,                0.98416,                0.71079,                 1.1165,                0.45604,                 1.3665,             0.00028245,             0.00028245,             0.00028245
                     49,                 1.0243,                0.57023,                 1.1519,                0.93376,                 0.9616,                0.98313,                 0.7122,                 1.0877,                0.45396,                 1.3433,             0.00028135,             0.00028135,             0.00028135
                     50,                 1.0201,                0.57075,                  1.158,                0.97222,                0.97199,                0.98586,                0.71139,                 1.0897,                0.45422,                 1.3513,             0.00028025,             0.00028025,             0.00028025
                     51,                 1.0254,                0.56365,                 1.1594,                0.96751,                0.97386,                0.97857,                0.70624,                  1.112,                0.45355,                 1.3456,             0.00027915,             0.00027915,             0.00027915
                     52,                 1.0116,                0.56733,                 1.1506,                0.97322,                 0.9697,                0.98164,                0.71228,                 1.1019,                0.45447,                 1.3284,             0.00027806,             0.00027806,             0.00027806
                     53,                 1.0098,                0.56292,                 1.1413,                0.97026,                  0.974,                0.98727,                 0.7113,                 1.1001,                0.46157,                 1.3353,             0.00027696,             0.00027696,             0.00027696
                     54,                0.99782,                  0.557,                 1.1445,                0.97406,                0.97465,                0.98352,                0.70833,                 1.1258,                0.44689,                 1.3726,             0.00027586,             0.00027586,             0.00027586
                     55,                 1.0002,                0.55776,                 1.1419,                0.97465,                0.97594,                0.98683,                0.71314,                 1.1011,                0.44507,                 1.3364,             0.00027476,             0.00027476,             0.00027476
                     56,                0.99595,                0.55342,                 1.1425,                0.96178,                0.97594,                 0.9834,                0.71109,                 1.1043,                0.45145,                 1.3355,             0.00027366,             0.00027366,             0.00027366
                     57,                 0.9897,                0.55309,                 1.1335,                0.97484,                0.97345,                0.98533,                0.71047,                 1.1126,                0.44752,                 1.3589,             0.00027256,             0.00027256,             0.00027256
                     58,                0.97853,                0.54565,                 1.1363,                0.97106,                0.97065,                0.98293,                0.71262,                 1.1023,                0.45015,                 1.3434,             0.00027146,             0.00027146,             0.00027146
                     59,                0.99947,                0.55477,                 1.1415,                0.96134,                0.97883,                0.98413,                0.69482,                 1.1305,                0.46868,                 1.3527,             0.00027036,             0.00027036,             0.00027036
                     60,                0.98906,                0.54921,                 1.1421,                0.96996,                 0.9761,                0.98801,                0.70653,                 1.1047,                 0.4388,                 1.3406,             0.00026926,             0.00026926,             0.00026926
